bucket,id,client,month,bookType,amount,qb,how,seedId
"stamped","ex_spine_16333","Ballad Health","2025-03","Marketing","29800","16333","spine-client+month+amt","16333"
"stamped","xl_mkt_2025-03_32","Ballad Health","2025-03","Marketing","29800","16333","spine-client+month+amt","16333"
"stamped","xl_bd_2026-01_2","Community Health Development","2026-01","Deal","4000","16821","spine-client+month+amt","carri_qb_16821"
"stamped","carri_DDS8418","Community Health Development, Inc.","2026-01","Deal","4000","16821","spine-client+month+amt","carri_qb_16821"
"stamped","xl_pl_2026-01_4","Riverview Regional Medical Center","2026-01","Placement","19000","16857","spine-client+month+amt","carri_qb_16857"
"stamped","xl_pl_2026-01_3","Winn Community Health Center","2026-01","Placement","20000","16820","spine-client+month+amt","carri_qb_16820"
"stamped","xl_bd_2026-02_2","Community Health","2026-02","Deal","4000","16856","client+month+amt","carri_bd_aaron_r9_new_search_community_health_dev_dds8419_m02"
"stamped","xl_pl_2026-02_2","Community Health and Dental Care","2026-02","Placement","25000","16859","spine-client+month+amt","carri_qb_16859"
"stamped","xl_pl_2026-02_5","South Plains Rural Health Services, Inc","2026-02","Placement","20000","16893","spine-client+month+amt","carri_qb_16893"
"stamped","xl_bd_2026-03_4","Blue Sky MD","2026-03","Deal","6000","16899","spine-client+month+amt","carri_qb_16899"
"stamped","xl_bd_2026-03_5","Family Health Center","2026-03","Deal","4000","16933","spine-client+month+amt","carri_qb_16933"
"stamped","xl_bd_2026-03_6","Helen Newberry Joy Hospital & Healthcare Center","2026-03","Deal","5000","16934","spine-client+month+amt","carri_qb_16934"
"stamped","xl_pl_2026-03_4","Midland","2026-03","Placement","8000","16901","client+month+amt","carri_gm_stephanie_r12_placement_midland_rono_split_billi_m03"
"stamped","xl_pl_2026-03_5","W.J. Mangold Memorial Hospital","2026-03","Placement","19000","16935","spine-client+month+amt","carri_qb_16935"
"stamped","carri_MO8434","Concord Hospital","2026-04","Deal","9000","16974","client+amt","carri_bd_zach_r10_new_search_concord_cd8439_m05"
"stamped","xl_bd_2026-04_6","Concord Hospital","2026-04","Deal","9000","16974","client+amt","carri_bd_zach_r10_new_search_concord_cd8439_m05"
"stamped","xl_bd_2026-04_7","Concord Hospital","2026-04","Deal","9000","16974","client+amt","carri_bd_zach_r10_new_search_concord_cd8439_m05"
